                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3671,                 3.0587,                 1.4515,                0.45233,                0.28235,                0.25226,                0.10691,                 1.8647,                 2.8809,                 1.7853,               0.070184,              0.0033129,              0.0033129
                      1,                  1.292,                 2.0202,                 1.4042,                0.52367,                0.39709,                0.40548,                0.18687,                 1.8527,                 2.2875,                 1.8273,               0.040118,              0.0065804,              0.0065804
                      2,                 1.2834,                  1.855,                 1.4067,                0.47213,                0.38174,                0.35782,                0.15425,                 1.9889,                 2.3773,                 2.0292,              0.0099865,               0.009782,               0.009782
                      3,                 1.3007,                 1.8044,                 1.4177,                0.44319,                0.39776,                0.38913,                0.18252,                 1.9192,                 2.8834,                 1.9127,               0.009703,               0.009703,               0.009703
                      4,                  1.276,                 1.7039,                 1.3969,                0.57457,                 0.3895,                0.41333,                0.17268,                 1.9914,                 2.3586,                  1.991,               0.009703,               0.009703,               0.009703
                      5,                 1.2507,                 1.6073,                 1.3779,                0.61794,                0.46928,                0.48568,                0.23157,                 1.8551,                 1.9631,                 1.8355,               0.009604,               0.009604,               0.009604
                      6,                  1.235,                 1.5287,                 1.3584,                0.62318,                0.45904,                0.51142,                0.23886,                 1.8754,                 1.8641,                 1.8966,               0.009505,               0.009505,               0.009505
                      7,                 1.2227,                 1.5164,                 1.3637,                 0.6633,                0.47322,                0.53597,                 0.2377,                 1.8917,                  1.795,                 1.8874,               0.009406,               0.009406,               0.009406
                      8,                 1.2023,                 1.4732,                 1.3425,                0.66791,                0.53394,                0.58693,                0.29238,                 1.7357,                 1.6263,                 1.7274,               0.009307,               0.009307,               0.009307
                      9,                 1.1916,                 1.4223,                 1.3339,                0.69358,                0.50939,                0.55235,                0.24448,                 1.9004,                 1.6762,                 1.8905,               0.009208,               0.009208,               0.009208
                     10,                 1.1753,                 1.3865,                 1.3271,                0.71104,                0.54778,                0.58565,                0.28416,                  1.802,                 1.5603,                 1.8099,               0.009109,               0.009109,               0.009109
                     11,                 1.1525,                  1.349,                 1.3128,                0.77335,                0.53159,                0.60131,                0.31283,                 1.7277,                 1.5025,                 1.7374,                0.00901,                0.00901,                0.00901
                     12,                 1.1495,                  1.322,                 1.3056,                0.68003,                0.52575,                0.58046,                0.26294,                 1.9166,                 1.6133,                 1.9101,               0.008911,               0.008911,               0.008911
                     13,                  1.144,                 1.3044,                 1.3057,                0.70056,                0.51721,                0.57583,                0.28128,                 1.8118,                 1.5332,                 1.7945,               0.008812,               0.008812,               0.008812
                     14,                 1.1258,                 1.2673,                 1.2915,                0.72164,                0.56995,                0.61073,                0.28802,                 1.8141,                 1.4473,                 1.8191,               0.008713,               0.008713,               0.008713
                     15,                 1.1285,                 1.2542,                 1.2908,                0.73554,                0.57868,                0.61037,                0.31748,                 1.7158,                 1.4431,                 1.7245,               0.008614,               0.008614,               0.008614
                     16,                 1.1198,                 1.2319,                 1.2819,                  0.786,                0.58017,                0.63511,                0.31974,                 1.7398,                  1.352,                 1.7522,               0.008515,               0.008515,               0.008515
                     17,                 1.1134,                 1.2199,                 1.2799,                0.70803,                0.60738,                0.63841,                0.31944,                 1.7159,                 1.3583,                 1.7507,               0.008416,               0.008416,               0.008416
